concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo leve";10082
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"51 - 80 KM/h";"Veículo pesado";1913
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"81 - 100 KM/h";"Moto";779
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo leve";10220
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"81 - 100 KM/h";"Veículo pesado";307
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"<= 20 KM/h";"Moto";6
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"<= 20 KM/h";"Veículo leve";1
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"> 160 KM/h";"Moto";5
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"> 160 KM/h";"Veículo leve";9
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"26/03/2022";"Crescente";1;"> 160 KM/h";"Veículo pesado";2
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"101 - 120 KM/h";"Moto";218
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo leve";2599
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"101 - 120 KM/h";"Veículo pesado";8
