concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo pesado";281
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"51 - 80 KM/h";"Moto";229
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo leve";5754
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo pesado";1225
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"81 - 100 KM/h";"Moto";406
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo leve";12346
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo pesado";1387
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"<= 20 KM/h";"Moto";2181
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo leve";1565
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo pesado";265
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"> 160 KM/h";"Moto";2
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo leve";27
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"03/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo pesado";2
